Gene2,Gene1,Type
g27,T1,+
g27,T2,+
g27,T13,+
g27,T14,+
g27,T15,+
g65,T1,+
g65,T3,+
g65,T6,+
g65,T8,+
g65,T10,+
g65,T12,+
g51,T5,+
g51,T6,+
g51,T9,+
T7,T7,+
g6,T1,+
g6,T6,+
g6,T8,+
g6,T10,+
g6,T11,+
g26,T10,+
g61,T10,+
g42,T14,+
g52,T6,+
g52,T7,+
g52,T11,+
g52,T12,+
g52,T15,+
g13,T1,+
g13,T4,+
g13,T11,+
g21,T1,+
g21,T2,+
g21,T8,+
g21,T12,+
g21,T14,+
g21,T15,+
g34,T3,+
g34,T5,+
g34,T9,+
g34,T11,+
g34,T15,+
g64,T3,+
g64,T4,+
g64,T8,+
g64,T12,+
g64,T14,+
g64,T15,+
g43,T6,+
g43,T10,+
g43,T11,+
g43,T14,+
T14,T14,+
g54,T3,+
g54,T6,+
g54,T12,+
g5,T3,+
g5,T4,+
g5,T15,+
g20,T3,+
g20,T11,+
g20,T12,+
g20,T14,+
g49,g49,+
g32,T3,+
g32,T8,+
g32,T11,+
T15,T15,+
g8,T1,+
g8,T6,+
g8,T9,+
g8,T10,+
g8,T14,+
T2,T2,+
g2,T1,+
g2,T5,+
g29,T9,+
g10,T2,+
g10,T3,+
g10,T5,+
g10,T12,+
g18,T7,+
g18,T8,+
g18,T13,+
g18,T15,+
g25,T2,+
g25,T14,+
g37,g37,+
g36,T1,+
g36,T3,+
g36,T4,+
g36,T5,+
g36,T13,+
g4,T3,+
g4,T6,+
g4,T8,+
g4,T12,+
g4,T13,+
g4,T14,+
g55,T1,+
g55,T6,+
g55,T7,+
g55,T12,+
g55,T15,+
g53,T3,+
g53,T5,+
g53,T7,+
g53,T13,+
g53,T15,+
g14,T1,+
g58,g58,+
g22,g22,+
g17,g17,+
g12,T2,+
g12,T7,+
g12,T8,+
g12,T9,+
g12,T14,+
T5,T5,+
g11,T11,+
g50,g50,+
g1,T6,+
g1,T9,+
g1,T12,+
g1,T15,+
T4,T4,+
g9,T2,+
g9,T5,+
g9,T6,+
g9,T8,+
g7,T3,+
g7,T4,+
g7,T8,+
g7,T10,+
g7,T11,+
g7,T14,+
g59,T6,+
g59,T8,+
g59,T12,+
g59,T13,+
T13,T13,+
g38,T3,+
g38,T4,+
g38,T5,+
g38,T12,+
g39,T3,+
g39,T4,+
g45,T14,+
T1,T1,+
g63,T3,+
g63,T6,+
g63,T7,+
g63,T11,+
g46,T1,+
g46,T2,+
g46,T5,+
g46,T7,+
g46,T8,+
g46,T13,+
g24,T2,+
g24,T3,+
g24,T6,+
g24,T11,+
g24,T12,+
g24,T14,+
g19,T1,+
g19,T3,+
g19,T9,+
g19,T12,+
g19,T15,+
g23,g23,+
T8,T8,+
g3,T1,+
g3,T5,+
g3,T6,+
g3,T10,+
g3,T15,+
g15,T10,+
T12,T12,+
g30,T2,+
g30,T3,+
g30,T5,+
g30,T10,+
g31,T8,+
g31,T15,+
g60,T11,+
g28,T10,+
g28,T11,+
g28,T12,+
g28,T15,+
T10,T10,+
T9,T9,+
g47,T7,+
g47,T11,+
g62,T9,+
g62,T10,+
g40,T3,+
g40,T9,+
g35,T1,+
g35,T3,+
g35,T5,+
g35,T8,+
g35,T11,+
g35,T15,+
g41,T1,+
g41,T2,+
g41,T5,+
g41,T9,+
g41,T12,+
g41,T13,+
g16,T1,+
g16,T8,+
g16,T9,+
g16,T11,+
g16,T15,+
g57,T4,+
g57,T6,+
g57,T9,+
g57,T12,+
g48,T4,+
g48,T15,+
T11,T11,+
g44,g44,+
T3,T3,+
T6,T6,+
g33,T2,+
g33,T4,+
g33,T8,+
g33,T10,+
g33,T11,+
g33,T12,+
g56,T2,+
g56,T4,+
g56,T6,+
g56,T10,+
g56,T11,+
g56,T13,+
